noun,correct_lemma
kartuseļs,1812
grunts,1809
sātiba,1809
tīrums,1808
biess,1805
Eņlenders,1804
mantinieks,1803
Japaņs,1800
saime,1800
tappis,1797
māciešs,1797
svars,1793
Dievakalpošana,1793
aka,1791
burts,1791
sorte,1790
interese,1785
saglis,1781
būve,1781
Diems,1780
junija,1779
mode,1778
budšets,1776
desmits,1776
Nomembris,1773
durmis,1771
prasišana,1768
runātājs,1766
Zerbija,1764
Lieldiena,1762
maijadziba,1762
zemišks,1761
rakstnieks,1760
Dašs,1760
atslēga,1757
druska,1756
draudziba,1755
ārlietas,1753
noma,1751
mašine,1749
bass,1749
sirsnigi,1745
makara,1743
jurģi,1743
sagļs,1739
lappa,1738
kristigs,1737
māceklis,1737
cepure,1730
kaušanās,1730
gomis,1727
kaite,1726
siltums,1725
iztaba,1724
andele,1724
šēligs,1723
bīdelets,1719
mēlešans,1718
dievakalpošana,1715
sūtnis,1714
Majestete,1713
nags,1712
rūpnieciba,1711
slimnica,1710
lielako,1709
dalibnieks,1706
libds,1705
nomirrušs,1704
vadonis,1702
tronis,1700
glābšana,1700
nedarbs,1699
muita,1696
Janmars,1694
sadzīve,1694
mīriešs,1693
miests,1693
vēlešans,1691
deputāts,1691
mēģinajums,1691
rūme,1688
masums,1687
minets,1683
plūdi,1680
pilsēts,1677
kalpone,1676
caurums,1674
tumsa,1673
likumprojekts,1669
eņģelis,1667
minūte,1664
izmeklešanas,1662
darijis,1662
pasnieds,1661
aizdomas,1661
dzīvošana,1660
socialdemokrats,1657
viela,1654
strīds,1652
Konstantinopole,1651
Priekšsēd,1650
seviški,1650
ikdiena,1649
klosteris,1647
pilsonis,1644
papīre,1642
Merca,1638
laucinieks,1637
izmeklešana,1637
kurators,1633
brīmiba,1633
patiesibu,1625
Daugama,1624
šimbrīšs,1621
ronās,1617
sestdiena,1616
sinama,1616
skats,1615
spaids,1613
kanāls,1611
seja,1609
prosesors,1608
procents,1608
pelni,1605
miestiņš,1604
dūms,1604
Jūns,1604
biedris,1602
